STOP_FRISK_ID,Stop Frisk Time,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,OFFICER_IN_UNIFORM_FLAG,FRISKED_FLAG,SEARCHED_FLAG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_PRECINCT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_BORO_NAME
11,0:20:00,2018,January,Monday,Based on Self Initiated,DTS,425,LT,425,1,CPW,2,1,0,1,CPW,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CALM,22,MALE,BLACK,6.1,220,MED,BRO,BLK,67,4410 AVENUE D,BROOKLYN
12,1:35:00,2018,January,Monday,Based on Radio Run,POM,68,SGT,68,1,OTHER,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,CALM,53,MALE,WHITE,5.8,190,XXX,BLK,BLK,68,8924 3 AVENUE,BROOKLYN
13,1:35:00,2018,January,Monday,Based on Radio Run,POM,68,SGT,68,1,OTHER,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,CALM,17,MALE,WHITE,5.8,150,XXX,BRO,BLK,68,8924 3 AVENUE,BROOKLYN
14,9:25:00,2018,January,Monday,Based on C/W on Scene,POM,71,LT,71,0,ASSAULT,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,UNDERSTANDING WHY SHE WAS STOPPED,57,FEMALE,BLACK,5.3,140,THN,BRO,BLK,71,377 MONTGOMERY STREET,BROOKLYN
15,8:38:00,2018,January,Monday,Based on Radio Run,POM,73,SGT,73,1,ASSAULT,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL,0,MALE,BLACK,5.9,190,MED,BRO,XXX,73,EAST 98 STREET && SUTTER AVENUE,BROOKLYN
16,0:45:00,2018,January,Monday,Based on Self Initiated,POF,802,SGT,802,1,CPW,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,N/A,18,MALE,BLACK,5.5,140,THN,BRO,BLK,73,131 BELMONT AVENUE,BROOKLYN
17,0:45:00,2018,January,Monday,Based on Self Initiated,POF,802,SGT,802,1,CPW,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,N/A,0,MALE,BLACK,5.1,120,THN,BRO,BLK,73,131 BELMONT AVENUE,BROOKLYN
18,0:45:00,2018,January,Monday,Based on Self Initiated,POF,802,SGT,802,1,CPW,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,N/A,0,MALE,BLACK,5.6,160,THN,BRO,BLK,73,131 BELMONT AVENUE,BROOKLYN
19,0:45:00,2018,January,Monday,Based on Self Initiated,POF,802,SGT,802,1,CPW,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,N/A,0,MALE,BLACK,5.6,150,THN,BRO,BLK,73,131 BELMONT AVENUE,BROOKLYN
20,0:45:00,2018,January,Monday,Based on Self Initiated,POF,802,SGT,802,1,CPW,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,N/A,0,MALE,BLACK,5.4,160,THN,BRO,BLK,73,131 BELMONT AVENUE,BROOKLYN
21,21:25:00,2018,January,Monday,Based on Radio Run,POM,78,SGT,78,1,BURGLARY,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CALM,60,MALE,BLACK,6.1,160,THN,BRO,XXX,78,296 FLATBUSH AVENUE,BROOKLYN
22,2:55:00,2018,January,Monday,Based on Radio Run,POM,94,LT,94,1,PETIT LARCENY,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,NERVOUS,26,MALE,BLACK,6.7,160,THN,BRO,BLK,94,44 BERRY STREET,BROOKLYN
23,2:55:00,2018,January,Monday,Based on Radio Run,POM,94,LT,94,1,PETIT LARCENY,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NERVOUS,25,MALE,WHITE,5.4,150,MED,GRY,BLN,94,44 BERRY STREET,BROOKLYN
24,19:35:00,2018,January,Monday,Based on Radio Run,POM,103,SGT,103,1,CRIMINAL POSSESSION OF MARIHUANA,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CALM,25,MALE,BLACK HISPANIC,5.5,260,HEA,BRO,BRO,103,170-06 89 AVENUE,QUEENS
25,7:20:00,2018,January,Monday,Based on Radio Run,POM,33,SGT,33,1,ASSAULT,20,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,COOPERATIVE,21,MALE,BLACK HISPANIC,5.11,170,THN,BRO,BLK,33,517 WEST 171 STREET,MANHATTAN
26,17:40:00,2018,January,Monday,Based on Self Initiated,POM,52,SGT,52,3,CPW,12,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,CALM,18,MALE,BLACK,5.7,140,THN,BRO,BLK,52,EAST FORDHAM ROAD && BAINBRIDGE AVENUE,BRONX
27,#N/A,2018,January,Monday,Based on Radio Run,POM,113,SGT,113,0,ASSAULT,14,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,UNDERSTANDING,40,MALE,BLACK,6.3,200,MED,BRO,BLK,113,201 STREET && 113 AVENUE,QUEENS
28,14:50:00,2018,January,Tuesday,Based on Radio Run,POF,804,SGT,804,10,CRIMINAL TRESPASS,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,26,MALE,BLACK,5.8,160,MED,BRO,BLK,9,890 EAST 6 STREET,MANHATTAN
